|~名称|~加護|~職業|>|>|>|>|~基本パラメータ|CENTER:~種族|CENTER:~特攻|~装備|~ラ&br;ン&br;ク|~コ&br;ス&br;ト|>|CENTER:~パッシブスキル|CENTER:~リーダー&br;スキル|CENTER:~アシスト&br;スキル|~内政&br;スキル|~スタンス|~備考|h
|ゴーストシップ|闇|デストロイヤー|120|96|88|32|1|死海器夜|人飛海|獣装&br;装飾|B|13|毒気砲弾[5]&br;死者支配[20]&br;全域攻撃&br;乾坤一擲[100]&br;|恐怖の瞳[40]&br;無形体躯[50]&br;異常耐性&br;兵士運搬&br;|無効喰い[20]&br;側面無効|兵士運搬|商業[20]|進撃|R5-鬼&br;v1.04|
|武侠屍騎|闇|デストロイヤー|120|100|70|45|4|死人男獣騎夜|人神飛獣死騎|斧槍&br;鎧|B|16|十字攻撃&br;確率追撃[100]&br;側面攻撃[15]&br;カブト割[35]&br;|死者活性[25]&br;堅守体躯[40]&br;無形体躯[40]&br;恐怖の瞳[40]&br;|報復の牙[12]&br;吸血攻撃[10]|カブト割[1]|軍事[3]|進撃|R6-機&br;v1.04|
|ボーンドラゴン|闇|デストロイヤー|130|100|81|18|2|死竜器飛夜|飛竜樹獣|爪&br;獣装|B|17|飛行弱体[25]&br;十字攻撃&br;カブト割[50]&br;竜鱗守護[75]&br;|リカバリ[25]&br;無形体躯[25]&br;堅守体躯[40]&br;イベイド[60]&br;|狂戦士化[25]&br;恐怖の瞳[30]|竜鱗守護[15]|魔術[4]|進撃|R6-尾&br;v1.04|
|ティルス＝デヴリス|闇|デストロイヤー|140|96|108|6|3|死竜炎超夜|魔神獣器|爪&br;獣装|D|21|竜の吐息[10]&br;竜鱗守護[100]&br;全力攻撃[100]&br;巨人狩り[50]&br;|必殺増加[25]&br;無形体躯[25]&br;堅守体躯[50]&br;全域攻撃&br;|超火炎砲[10]&br;軍団弱体[20]|堅守体躯[1]||進撃|R7-破&br;v1.04|
|アビサルデューク|闇|デストロイヤー|140|132|109|6|7|死騎夜超|全|両手&br;盾|D|26|死の軍勢[20]&br;巨人狩り[50]&br;カブト割[75]&br;必殺増加[50]&br;|全域攻撃&br;無形体躯[50]&br;堅守体躯[50]&br;特攻防御[50]&br;|恐怖の瞳[30]&br;狂戦士化[50]|致命必殺[15]||進撃|R8-冥&br;v1.04|
|クレニウム＝デヴリス|闇|デストロイヤー|145|125|125|18|4|死竜飛炎超夜|飛神蟲竜|爪&br;獣装|E|26|師団支配[25]&br;竜鱗守護[120]&br;反撃倍加[20]&br;竜の吐息[15]&br;|カブト割[75]&br;堅守体躯[65]&br;特攻防御[75]&br;軍団攻撃[2]&br;|遠隔無効&br;範囲無効|カブト割[1]||進撃|R8-冥&br;v1.04|
|ゾンビコック|闇|ヒーラー|90|24|12|14|4|死女飛夜|人獣樹蟲|両手&br;道具|S|3|行動増加[1]&br;毒気放射[6]&br;専守防衛&br;死者活性[15]&br;|リカバリ[20]&br;無形体躯[10]&br;資源工面[20]&br;グルメ魂[5]&br;|グルメ魂[5]&br;リバイブ[15]|魔族医療[5]|医療[3]|防備|R2-苦&br;Lv3蘇生&br;v1.04|
|屍巫女|水闇|ヒーラー|110|44|44|44|9|死人女夜|男女神|杖&br;法衣|A|9|十字無効&br;自爆結界[20]&br;絶対治療&br;死者活性[24]&br;|リバイブ[15]&br;無形体躯[20]&br;魔族医療[20]&br;専守防衛&br;|凍傷気流[10]&br;バリアー[3]|バリアー[1]|医療[3]|防備|R5-鬼&br;v1.04|
|ウルナ＝デヴリス|闇|ヒーラー|115|52|36|32|8|死女獣毒夜|男女神|鞭&br;道具|A|11|攻撃弱体[15]&br;専守防衛&br;魔族医療[20]&br;絶対治療&br;|リバイブ[15]&br;無形体躯[20]&br;異常耐性&br;全域無効&br;|バリアー[10]&br;毒気砲弾[8]|絶対治療||防備|R4-骸&br;v1.04|
|ノーライフキング|闇|ヒーラー|120|66|108|6|13|死人女夜|神人死|杖&br;法衣|A|12|魔族医療[24]&br;大魔術陣[24]&br;専守防衛&br;死者支配[25]&br;|リバイブ[20]&br;無形体躯[25]&br;異常耐性&br;遠隔無効&br;|戦術結界[30]&br;戦術妨害[100]|兵士運搬|医療[3]|防備|R5-鬼&br;Lv4蘇生&br;v1.04|
|ドゥームプリンセス|闇|ヒーラー|115|53|58|22|11|死女炎夜|死|法衣&br;道具|B|18|側面無効&br;魔族医療[26]&br;絶対治療&br;専守防衛&br;|リバイブ[20]&br;無形体躯[30]&br;異常耐性&br;死者指揮[10]&br;|死者弱体[32]&br;運命の輪[10]|絶対治療|医療[3]|防備|R6-帝&br;Lv5全↓&br;v1.04|
|アビサルフィロソファ|闇|ヒーラー|125|43|81|26|22|死女夜超|人獣魔神竜|法衣&br;道具|D|21|死の軍勢[10]&br;全域無効&br;専守防衛&br;魔族医療[35]&br;|リカバリ[50]&br;イベイド[80]&br;無形体躯[50]&br;砲撃結界[65]&br;|術式増幅[25]&br;運命の輪[30]|砲撃結界[10]||防備|R8-冥&br;Lv3蘇生&br;v1.04|
|閻魔厨師|闇|ヒーラー|115|36|58|42|24|死女魔竜炎超|人獣蟲魔神竜|片手&br;法衣|D|23|行動増加[3]&br;次元斬撃[35]&br;師団支配[15]&br;死者支配[20]&br;|絶対治療&br;リバイブ[40]&br;無形体躯[50]&br;グルメ魂[10]&br;|グルメ魂[10]&br;軍団治癒[10]|砲撃結界[10]|商業[20]|防備|R7-刹&br;v1.04|
|プロセルピナ|闇|ヒーラー|115|44|36|28|12|死女樹毒夜超||法衣&br;道具|C|26|標的後逸&br;バリアー[8]&br;軍団治癒[14]&br;死者活性[50]&br;|絶対治療&br;イベイド[100]&br;専守防衛&br;リバイブ[50]&br;|地形無効&br;範囲無効|地形無効|医療[3]|防備|R7-刹&br;Lv5蘇生&br;v1.04|
|BGCOLOR(#EEE):|||||||||||||||||||&br;|c
|スライム|水|ブレイダー|80|6|10|2|2|海毒|器|鞭&br;装飾|S|1|攻撃削減[4]&br;強酸放射[4]&br;自己治癒[8]&br;反撃耐性[30]&br;|攻撃弱体[8]&br;無形体躯[25]&br;毒化攻撃[4]&br;&br;|速度削減[10]&br;強酸砲弾[3]|致命耐性[20]|医療[3]|進撃|R1-異&br;v1.04|
|スクラップイーター|水|ブレイダー|90|12|15|7|3|海器雷毒|器器|鞭&br;装飾|S|3|防御削減[10]&br;強酸放射[10]&br;自己治癒[14]&br;反撃耐性[40]&br;|防御弱体[10]&br;無形体躯[30]&br;側面攻撃[6]&br;毒化攻撃[6]&br;|麻痺攻撃[1]&br;大強酸陣[5]|術撃放射[15]|工業[12]|進撃|R2-海&br;v1.04|
|エーテルブレイダー|光|ブレイダー|105|43|32|34|8|女器雷|樹獣海|片手&br;装飾|S|7|多段攻撃[2]&br;器兵活性[14]&br;自決自爆[40]&br;必殺増加[30]&br;|パリング[45]&br;前進防御&br;異常耐性&br;側面攻撃[7]&br;|攻撃指揮[10]&br;致命必殺[50]|必殺増加[10]|工業[16]|進撃|R3-造&br;v1.04|
|キラードール|闇|ブレイダー|110|56|38|42|3|魔器|人獣死|片手&br;両手|A|9|武具研磨[40]&br;確率追撃[100]&br;全力攻撃[70]&br;多段攻撃[2]&br;|反撃耐性[50]&br;異常耐性&br;奇襲戦法[12]&br;側面攻撃[8]&br;|狂戦士化[30]&br;闇雲攻撃|確率追撃[10]|工業[12]|進撃|R4-骸&br;v1.04|
|レイスソルダート|闇|ブレイダー|115|65|54|21|6|男器騎|魔神死|両手&br;鎧|A|10|勇猛果敢&br;特攻防御[50]&br;必殺増加[25]&br;カブト割[30]&br;|側面攻撃[8]&br;パリング[35]&br;狂奔の牙[8]&br;心核穿ち[25]&br;|騎士活性[20]&br;死者弱体[20]|心核穿ち[5]|工業[12]|進撃|R5-王&br;v1.04|
|ＲＧペルセウス|火|ブレイダー|125|70|70|45|7|器雷|飛竜器|片手&br;両手|B|12|確率追撃[50]&br;雷撃砲弾[8]&br;巨人狩り[50]&br;反撃耐性[50]&br;|自決自爆[50]&br;堅守体躯[40]&br;多段攻撃[2]&br;異常耐性&br;|乾坤一擲[35]&br;攻撃布陣[25]|全力攻撃[5]|工業[12]|進撃|R5-革&br;v1.04|
|フォージアルカンジェ|光|ブレイダー|115|80|48|61|9|女神器飛|飛魔器|片手&br;両手|B|12|側面攻撃[10]&br;多段攻撃[3]&br;必殺増加[35]&br;確率追撃[100]&br;|異常耐性&br;器兵活性[15]&br;パリング[50]&br;必殺耐性[30]&br;|器兵支配[20]&br;致命必殺[50]|必殺増加[10]|工業[16]|進撃|R6-機&br;v1.04|
|デモンドール|闇|ブレイダー|120|86|56|67|5|魔器|飛人獣蟲死|両手&br;斧槍|B|16|武具研磨[60]&br;確率追撃[100]&br;全力攻撃[100]&br;カブト割[30]&br;|反撃耐性[80]&br;異常耐性&br;防御弱体[25]&br;側面攻撃[13]&br;|狂戦士化[40]&br;狂奔の牙[12]|確率追撃[10]|工業[16]|進撃|R7-破&br;v1.04|
|ファルスアルカンジェ|光|ブレイダー|125|95|68|76|11|女魔器飛超|飛魔神器|片手&br;両手|C|22|魔術放射[40]&br;多段攻撃[4]&br;次元斬撃[40]&br;確率追撃[125]&br;|堅守体躯[40]&br;飛行活性[24]&br;報復の牙[20]&br;器兵活性[15]&br;|狂戦士化[30]&br;必殺耐性[25]|カブト割[1]|工業[16]|進撃|R8-楽&br;v1.04|
|スサノオ|火|ブレイダー|115|70|65|55|10|女器雷|全|両手&br;装飾|S|23|必殺増加[25]&br;致命必殺[75]&br;心核穿ち[40]&br;十字攻撃&br;|次元斬撃[50]&br;器兵活性[30]&br;大雷撃陣[15]&br;狂奔の牙[15]&br;|軍団攻撃[2]&br;側面攻撃[30]|側面攻撃[5]|工業[20]|進撃|R7-運&br;v1.04|
|エーテルランサー|光|ランサー|95|42|25|60|10|女器雷飛|飛海獣|斧槍&br;鎧|S|6|貫通攻撃&br;奇襲戦法[15]&br;自決自爆[50]&br;器兵活性[14]&br;|異常耐性&br;側面攻撃[10]&br;全力攻撃[50]&br;多段攻撃[1]&br;|速度指揮[10]&br;速度布陣[15]|側面攻撃[5]|工業[16]|乱戦|R3-造&br;v1.04|
|ミミック|光|ランサー|100|33|33|33|8|女魔器|人竜器蟲|鞭&br;道具|S|7|撃破金運[4]&br;撃破金運[5]&br;撃破金運[6]&br;撃破金運[7]&br;|トレハン[20]&br;専守防衛&br;器兵活性[15]&br;自爆結界[20]&br;|撃破金運[8]&br;トレハン[10]|師団活性[5]|商業[20]|乱戦|R3-造&br;v1.04|
|ゼラチナスキューブ|水|ランサー|95|36|56|6|4|海器夜|男女男|鞭&br;装飾|A|8|遠隔攻撃&br;女性支配[14]&br;男性支配[14]&br;パリング[66]&br;|多段攻撃[6]&br;無形体躯[35]&br;勇猛果敢&br;自爆結界[25]&br;|リカバリ[20]&br;側面攻撃[10]|自爆障壁[15]|医療[3]|乱戦|R3-蟲&br;v1.04|
|レイスライダー|闇|ランサー|110|60|42|55|6|女器騎飛|飛神死|斧槍&br;獣装|A|9|側面攻撃[12]&br;必殺増加[25]&br;反撃耐性[60]&br;致命必殺[60]&br;|大火炎陣[8]&br;兵士運搬&br;十字攻撃&br;心核穿ち[35]&br;|速度布陣[20]&br;勇猛果敢|心核穿ち[5]|工業[12]|乱戦|R5-王&br;v1.04|
|スケアクロウ・マータ|土|ランサー|115|78|37|28|6|女樹器|飛獣樹蟲|斧槍&br;装飾|A|12|樹霊活性[20]&br;飛行弱体[20]&br;巨人狩り[60]&br;火炎砲弾[7]&br;|奇襲警戒[20]&br;イベイド[60]&br;十字攻撃&br;グルメ魂[6]&br;|グルメ魂[6]&br;挑発行為|師団活性[5]|農業[20]|乱戦|R5-革&br;v1.04|
|マシンドラゴン|火|ランサー|125|90|65|48|6|器竜雷飛|魔神海蟲|爪&br;獣装|B|15|致命必殺[50]&br;カブト割[35]&br;扇形攻撃&br;竜の吐息[10]&br;|竜鱗守護[70]&br;堅守体躯[40]&br;必殺増加[35]&br;異常耐性&br;|狂奔の牙[15]&br;雷撃砲弾[6]|開幕砲弾[5]|工業[8]|乱戦|R6-機&br;v1.04|
|フォージガルガリン|光|ランサー|120|65|58|95|11|女神器飛|飛魔器騎|獣装&br;装飾|C|20|速度布陣[24]&br;全力攻撃[100]&br;反撃耐性[70]&br;十字攻撃&br;|異常耐性&br;堅守体躯[40]&br;確率追撃[100]&br;兵士運搬&br;|地形無効&br;雷撃砲弾[12]|兵士運搬|工業[16]|乱戦|R7-運&br;v1.04|
|ファルスガルガリン|光|ランサー|125|90|85|125|13|女魔器飛超|飛魔神器|獣装&br;装飾|D|26|速度支配[36]&br;必殺増加[35]&br;心核穿ち[100]&br;全力攻撃[100]&br;|全域攻撃&br;堅守体躯[50]&br;特攻防御[70]&br;反撃耐性[50]&br;|地形無効&br;無効喰い[40]|地形無効|工業[16]|乱戦|R8-楽&br;v1.04|
|マザーミミック|光|ランサー|110|55|35|55|10|女魔器|人竜器蟲|杖&br;道具|A|26|撃破金運[6]&br;撃破金運[7]&br;撃破金運[8]&br;反撃倍加[10]&br;|トレハン[32]&br;専守防衛&br;師団活性[20]&br;致命必殺[100]&br;|撃破金運[9]&br;トレハン[12]|師団活性[5]|商業[24]|乱戦|R7-運&br;v1.04|
|ポンコツメイド|火|シューター|95|12|18|15|5|器|器|法衣&br;装飾|S|2|撃破金運[2]&br;撃破金運[3]&br;資源工面[20]&br;グルメ魂[3]&br;|バリアー[1]&br;解毒治療&br;遠隔攻撃&br;器兵活性[10]&br;|トレハン[10]&br;グルメ魂[4]|自決自爆[15]|工業[12]|計略|R1-異&br;v1.04|
|パペットガンナー|土|シューター|100|40|15|20|1|器夜|人神蟲|射撃&br;道具|S|5|攻撃布陣[10]&br;貫通攻撃&br;必殺増加[15]&br;致命必殺[50]&br;|遠隔攻撃&br;無形体躯[25]&br;自決自爆[50]&br;日中適応&br;|全力攻撃[30]&br;扇形攻撃|連携攻撃[5]|工業[8]|計略|R2-幻&br;v1.04|
|エーテルガンナー|光|シューター|100|52|21|28|8|女器雷|飛獣蟲|射撃&br;装飾|S|6|遠隔攻撃&br;自決自爆[45]&br;カブト割[30]&br;解除攻撃&br;|異常耐性&br;確率追撃[50]&br;必殺増加[30]&br;防御削減[15]&br;|攻撃指揮[10]&br;雷撃砲弾[4]|遠隔攻撃|工業[16]|計略|R3-造&br;v1.04|
|エーテルアサルト|光|シューター|100|47|32|42|7|女器雷|飛獣樹|射撃&br;装飾|S|7|遠隔攻撃&br;扇形攻撃&br;自決自爆[45]&br;多段攻撃[2]&br;|器兵活性[15]&br;異常耐性&br;イベイド[50]&br;側面攻撃[10]&br;|速度指揮[10]&br;雷撃砲弾[6]|速度布陣[10]|工業[16]|計略|R3-造&br;v1.04|
|メルカバ|火|シューター|105|70|25|16|8|女器飛炎|氷飛器|射撃&br;装飾|A|8|扇形攻撃&br;遠隔攻撃&br;自決自爆[50]&br;大火炎陣[6]&br;|カブト割[35]&br;夜戦適応&br;防御弱体[12]&br;器兵活性[10]&br;|攻撃布陣[10]&br;火炎砲弾[6]|開幕砲弾[5]|工業[16]|計略|R3-歴&br;v1.04|
|キリングメイド|火|シューター|105|63|42|38|15|女器炎|飛海器|射撃&br;装飾|A|8|狂奔の牙[10]&br;貫通攻撃&br;火炎放射[18]&br;カブト割[30]&br;|多段攻撃[2]&br;遠隔攻撃&br;異常耐性&br;自決自爆[50]&br;|火炎砲弾[8]&br;心核穿ち[20]|必殺増加[10]|工業[20]|計略|R4-命&br;v1.04|
|フラットボディ|火|シューター|110|56|56|24|7|女器炎|樹獣海氷|杖&br;道具|A|9|扇形攻撃&br;遠隔攻撃&br;自決自爆[50]&br;大火炎陣[12]&br;|カブト割[35]&br;イベイド[45]&br;火炎砲弾[4]&br;炎霊活性[16]&br;|側面無効&br;術式増幅[15]|術撃放射[15]|工業[12]|計略|R4-命&br;v1.04|
|エーテルモノリス|光|シューター|105|70|28|16|20|器雷飛|魔神|射撃&br;装飾|B|12|器兵支配[24]&br;貫通攻撃&br;自決自爆[55]&br;多段攻撃[4]&br;|カブト割[25]&br;遠隔攻撃&br;異常耐性&br;大雷撃陣[12]&br;|器兵指揮[12]&br;側面攻撃[15]|大術撃陣[5]|工業[20]|計略|R5-革&br;Lv4全↑↓&br;v1.04|
|ブラッドガンナー|土闇|シューター|115|80|20|30|2|器夜|魔神獣飛|射撃&br;道具|B|15|攻撃布陣[30]&br;全域攻撃&br;必殺増加[30]&br;致命必殺[100]&br;|次元斬撃[15]&br;無形体躯[50]&br;自決自爆[100]&br;日中適応&br;|全力攻撃[65]&br;無効喰い[10]|連携攻撃[5]||計略|R6-機&br;v1.04|
|ＲＧアタランテ|火|シューター|135|92|48|32|7|器|飛神竜|射撃&br;装飾|B|16|遠隔攻撃&br;自決自爆[55]&br;カブト割[45]&br;奇襲戦法[12]&br;|攻撃弱体[20]&br;夜戦適応&br;雷撃砲弾[4]&br;城壁崩し[100]&br;|集約攻撃&br;超雷撃砲[3]|全力攻撃[5]|工業[12]|計略|R5-革&br;v1.04|
|魔装機竜兵|光|シューター|110|80|56|24|12|女器竜飛炎雷|飛魔獣|射撃&br;装飾|A|17|遠隔攻撃&br;自決自爆[50]&br;扇形攻撃&br;多段攻撃[3]&br;|防御弱体[20]&br;夜戦適応&br;必殺増加[25]&br;雷撃砲弾[5]&br;|異常耐性&br;巨人狩り[50]|必殺増加[10]|工業[16]|計略|R6-機&br;v1.04|
|フォージセラフ|光|シューター|140|80|60|50|16|女神器飛炎|全|射撃&br;装飾|D|26|巨人狩り[50]&br;超神術陣[15]&br;全域攻撃&br;多段攻撃[3]&br;|異常耐性&br;堅守体躯[50]&br;次元斬撃[50]&br;攻撃支配[30]&br;|防御弱体[35]&br;神術砲弾[20]|カブト割[1]|工業[20]|計略|R7-運&br;Lv5全↓&br;v1.04|
|ファルスセラフ|光|シューター|150|120|100|75|24|女魔器飛炎超|全|射撃&br;装飾|E|32|自爆障壁[80]&br;超毒気陣[10]&br;全域攻撃&br;多段攻撃[6]&br;|特攻防御[70]&br;堅守体躯[50]&br;次元斬撃[75]&br;攻撃支配[50]&br;|暴走攻撃[95]&br;超神術砲[15]|カブト割[1]|工業[20]|計略|R8-楽&br;Lv5全↓&br;v1.04|
|スライムレディ|水|キャスター|90|15|20|18|6|女魔海毒|男器|杖&br;道具|S|4|攻撃削減[6]&br;防御削減[6]&br;大強酸陣[4]&br;扇形攻撃&br;|追撃阻止[15]&br;無形体躯[35]&br;異常耐性&br;自爆結界[25]&br;|遠隔攻撃&br;器兵弱体[20]|必殺耐性[10]|魔術[12]|計略|R2-海&br;v1.04|
|ネガフレイム|火水|キャスター|105|38|30|16|15|女魔器炎氷|器炎氷|杖&br;道具|S|5|氷撃砲弾[8]&br;大火炎陣[15]&br;炎霊支配[12]&br;氷霊支配[12]&br;|専守防衛&br;撃破金運[6]&br;術式増幅[20]&br;トレハン[22]&br;|運命の輪[15]&br;撃破金運[7]|自爆障壁[15]|魔術[16]|計略|R3-歴&br;v1.04|
|パペットメイジ|土|キャスター|100|18|15|12|12|飛器夜|炎雷氷|杖&br;道具|S|5|魔術砲弾[6]&br;大魔術陣[12]&br;器兵活性[8]&br;追撃阻止[25]&br;|専守防衛&br;全体治癒[10]&br;対術結界[35]&br;トレハン[18]&br;|戦術補助[25]&br;戦術強撃[25]|対術結界[10]|魔術[12]|計略|R2-幻&br;v1.04|
|パペットマスター|闇|キャスター|105|37|28|18|18|女魔器夜|器|法衣&br;道具|S|7|師団支配[12]&br;大魔術陣[15]&br;奇襲戦法[12]&br;停止攻撃[15]&br;|遠隔攻撃&br;標的後逸&br;対術結界[30]&br;運命の輪[5]&br;|強制異常[15]&br;愚者の嘘[1]|大術撃陣[5]|魔術[16]|計略|R3-歴&br;v1.04|
|レイスマギア|闇|キャスター|105|49|28|24|16|女器雷|魔神|杖&br;法衣|A|9|雷撃砲弾[8]&br;器兵活性[18]&br;大雷撃陣[10]&br;専守防衛&br;|絶対治療&br;全体治癒[10]&br;バリアー[3]&br;自爆結界[35]&br;|遠隔攻撃&br;戦意高揚[40]|開幕砲弾[5]|工業[16]|計略|R4-賢&br;v1.04|
|スライムクイーン|水|キャスター|100|32|52|28|12|女魔海毒|男女器|杖&br;道具|A|11|攻撃削減[20]&br;防御削減[20]&br;大強酸陣[10]&br;全域攻撃&br;|遠隔攻撃&br;無形体躯[40]&br;異常耐性&br;砲撃結界[30]&br;|強制異常[20]&br;強酸砲弾[8]|必殺耐性[10]|魔術[16]|計略|R4-命&br;v1.04|
|ドッペルゲンガー|土|キャスター|105|48|36|24|12|女器夜||法衣&br;道具|A|12|イベイド[50]&br;愚者の嘘[1]&br;専守防衛&br;全域無効&br;|虹の毒撃[15]&br;受け流し[30]&br;師団弱体[15]&br;トレハン[24]&br;|戦術補助[50]&br;追撃阻止[40]|リカバリ[5]|魔術[16]|計略|R5-王&br;Lv2蘇生&br;v1.04|
|エンブリオジェネラル|光|キャスター|110|65|65|45|14|女器雷飛|魔神飛|斧槍&br;法衣|A|12|大雷撃陣[15]&br;遠隔攻撃&br;イベイド[50]&br;十字攻撃&br;|カブト割[35]&br;多段攻撃[3]&br;異常耐性&br;器兵活性[25]&br;|自爆結界[50]&br;全体治癒[12]|カブト割[1]|工業[16]|計略|R5-王&br;Lv5全↑&br;v1.04|
|ブラッドメイジ|土闇|キャスター|110|36|30|24|24|飛器夜|炎雷氷|杖&br;道具|B|15|魔術砲弾[10]&br;大魔術陣[16]&br;器兵活性[22]&br;追撃阻止[50]&br;|専守防衛&br;平等治癒[12]&br;対術結界[50]&br;トレハン[24]&br;|絶対治療&br;終の奇跡[20]|対術結界[10]||計略|R6-機&br;v1.04|
|パンドラ|闇|キャスター|115|66|66|66|13|女魔器毒夜|人魔神|杖&br;道具|B|16|イベイド[80]&br;愚者の嘘[1]&br;専守防衛&br;十字無効&br;|虹の毒撃[20]&br;毒気砲弾[6]&br;師団弱体[30]&br;トレハン[36]&br;|軍団弱体[10]&br;超毒気陣[5]|イベイド[10]|商業[24]|計略|R6-尾&br;Lv5全↓&br;v1.04|
|フォージエクスシア|光|キャスター|125|16|42|24|20|女神器飛海||法衣&br;装飾|C|18|対術結界[60]&br;自爆結界[60]&br;大氷撃陣[20]&br;超氷撃砲[8]&br;|異常耐性&br;イベイド[70]&br;専守防衛&br;愚者の嘘[2]&br;|師団支配[30]&br;戦術妨害[100]|開幕砲弾[5]|工業[20]|計略|R7-運&br;v1.04|
|ファルスエクスシア|光|キャスター|135|30|64|44|24|女魔器飛海超||法衣&br;装飾|D|26|戦術妨害[100]&br;大毒気陣[18]&br;超魔術陣[12]&br;超魔術砲[12]&br;|イベイド[90]&br;師団支配[30]&br;専守防衛&br;戦術結界[60]&br;|愚者の嘘[4]&br;戦意高揚[150]|開幕砲弾[5]|工業[20]|計略|R8-楽&br;v1.04|
|ガーゴイル|土|ガーダー|90|12|20|12|3|魔器飛夜|雷器|爪&br;鎧|S|2|防御布陣[4]&br;堅守体躯[15]&br;トレハン[8]&br;専守防衛&br;|奇襲警戒[11]&br;異常耐性&br;器兵活性[8]&br;&br;|前進防御&br;思考停止|防御布陣[10]|魔術[8]|防備|R1-異&br;v1.04|
|人喰いボックス|土|ガーダー|100|46|35|18|4|魔器|人器蟲|爪&br;道具|S|5|撃破金運[4]&br;撃破金運[5]&br;致命必殺[50]&br;防御布陣[5]&br;|トレハン[14]&br;堅守体躯[20]&br;反撃倍加[4]&br;専守防衛&br;|異常耐性&br;トレハン[6]|致命必殺[15]|商業[8]|防備|R2-苦&br;v1.04|
|ロックマン|土|ガーダー|105|22|50|6|3|器|雷蟲|爪&br;鎧|S|5|防御布陣[7]&br;前進防御&br;反撃倍加[6]&br;異常耐性&br;|城壁構築[75]&br;堅守体躯[35]&br;専守防衛&br;砲撃結界[35]&br;|必殺増加[25]&br;撃破金運[5]|城壁構築[20]|工業[16]|防備|R2-闘&br;v1.04|
|パペットナイト|土|ガーダー|105|20|42|10|2|器騎夜|人器騎|片手&br;盾|S|5|反撃倍加[3]&br;奇襲警戒[12]&br;防御布陣[10]&br;専守防衛&br;|異常耐性&br;堅守体躯[25]&br;ブロック[30]&br;背水の陣[10]&br;|致命必殺[50]&br;狂戦士化[20]|パリング[10]|軍事[3]|防備|R2-幻&br;v1.04|
|ストーンフォートレス|土|ガーダー|105|26|52|2|6|器騎|魔死|盾&br;装飾|S|5|反撃倍加[5]&br;奇襲警戒[18]&br;防御布陣[12]&br;専守防衛&br;|異常耐性&br;堅守体躯[20]&br;必殺耐性[20]&br;パリング[40]&br;|致命耐性[50]&br;夜戦適応|パリング[10]|工業[16]|防備|R3-巨&br;v1.04|
|カーバンクルナイト|光|ガーダー|110|6|50|26|8|女竜器飛騎|炎氷雷海毒|盾&br;鎧|S|5|前進防御&br;貫通無効&br;防御布陣[15]&br;専守防衛&br;|ブロック[35]&br;特攻防御[50]&br;戦術結界[30]&br;対術結界[30]&br;|師団活性[15]&br;砲撃結界[30]|特攻防御[5]|工業[16]|防備|R3-造&br;v1.04|
|エーテルガード|光|ガーダー|95|41|41|15|10|女器雷|魔海騎|片手&br;盾|S|6|全体治癒[8]&br;ブロック[20]&br;自決自爆[40]&br;防御布陣[20]&br;|堅守体躯[20]&br;専守防衛&br;異常耐性&br;貫通無効&br;|防御指揮[10]&br;リカバリ[25]|防御布陣[10]|工業[16]|防備|R3-造&br;v1.04|
|アイススタチュー|水|ガーダー|110|34|60|2|3|氷器|炎器|爪&br;鎧|S|7|炎霊弱体[12]&br;凍結攻撃[30]&br;防御布陣[15]&br;前進防御&br;|反撃倍加[5]&br;堅守体躯[35]&br;異常耐性&br;特攻防御[60]&br;|専守防衛&br;兵士運搬|特攻防御[5]|魔術[8]|防備|R3-造&br;v1.04|
|石棺兵|土|ガーダー|110|27|53|11|3|器騎|獣蟲毒死|片手&br;盾|A|8|反撃倍加[5]&br;前進防御&br;防御布陣[20]&br;専守防衛&br;|異常耐性&br;堅守体躯[30]&br;側面無効&br;貫通無効&br;|ブロック[25]&br;パリング[25]|パリング[10]||防備|R3-凶&br;v1.04|
|レイスガード|闇|ガーダー|115|33|62|12|8|女器騎|魔神死|片手&br;盾|A|8|必殺増加[30]&br;防御布陣[20]&br;専守防衛&br;ブロック[25]&br;|特攻防御[50]&br;堅守体躯[20]&br;貫通無効&br;心核穿ち[25]&br;|反撃倍加[6]&br;異常耐性|特攻防御[5]|工業[12]|防備|R4-賢&br;v1.04|
|フェイクウォール|土|ガーダー|110|48|79|32|3|魔器|人獣蟲|片手&br;装飾|A|11|パリング[60]&br;必殺増加[35]&br;防御布陣[12]&br;致命必殺[85]&br;|反撃倍加[5]&br;専守防衛&br;堅守体躯[35]&br;異常耐性&br;|側面無効&br;イベイド[60]|特攻防御[5]|工業[12]|防備|R4-骸&br;v1.04|
|アトレウス|光|ガーダー|125|32|80|18|7|女器騎|人器蟲夜|斧槍&br;盾|B|13|前進防御&br;専守防衛&br;防御布陣[24]&br;ブロック[35]&br;|堅守体躯[35]&br;異常耐性&br;撃破金運[6]&br;トレハン[28]&br;|トレハン[8]&br;十字無効|堅守体躯[1]|商業[24]|防備|R5-王&br;Lv5全↑&br;v1.04|
|オリハルコンマン|土|ガーダー|130|42|96|10|5|器|海氷蟲|爪&br;鎧|B|15|防御布陣[18]&br;撃破金運[7]&br;反撃倍加[7]&br;異常耐性&br;|城壁構築[125]&br;堅守体躯[50]&br;専守防衛&br;戦術結界[30]&br;|撃破金運[7]&br;撃破金運[7]|防御布陣[10]|工業[24]|防備|R6-帝&br;v1.04|
